set,filename,class,xmin,ymin,xmax,ymax
UNASSIGNED,image/32160.jpg,dress,0.401,0.239,0.684,0.563
UNASSIGNED,image/32160.jpg,shoe,0.469,0.6579999999999999,0.789,0.977
UNASSIGNED,image/169304.jpg,T-shirt,0.28600000000000003,0.247,0.596,0.42200000000000004
UNASSIGNED,image/169304.jpg,shoe,0.195,0.902,0.48100000000000004,1.0
UNASSIGNED,image/169304.jpg,stocking,0.218,0.621,0.509,0.912
UNASSIGNED,image/100221.jpg,T-shirt,0.273,0.242,0.742,0.419
UNASSIGNED,image/100221.jpg,shoe,0.429,0.861,0.644,0.9229999999999999
UNASSIGNED,image/100221.jpg,skirt,0.311,0.401,0.647,0.648
UNASSIGNED,image/102919.jpg,bag,0.627,0.341,0.955,0.6990000000000001
UNASSIGNED,image/102919.jpg,belt,0.536,0.34700000000000003,0.682,0.391
UNASSIGNED,image/102919.jpg,blouse,0.506,0.265,0.647,0.364
UNASSIGNED,image/102919.jpg,pants,0.414,0.381,0.767,0.823
UNASSIGNED,image/102919.jpg,scarf,0.489,0.17,0.667,0.294
UNASSIGNED,image/102919.jpg,shoe,0.461,0.873,0.737,0.985
UNASSIGNED,image/102919.jpg,sweater,0.268,0.14,0.737,0.466
UNASSIGNED,image/134447.jpg,bag,0.281,0.48100000000000004,0.41600000000000004,0.609
UNASSIGNED,image/134447.jpg,hat,0.21100000000000002,0.055,0.534,0.19899999999999998
UNASSIGNED,image/134447.jpg,pants,0.17800000000000002,0.377,0.551,0.953
UNASSIGNED,image/103419.jpg,bag,0.682,0.42700000000000005,0.8220000000000001,0.613
UNASSIGNED,image/103419.jpg,blazer,0.406,0.519,0.534,0.703
UNASSIGNED,image/103419.jpg,blouse,0.45899999999999996,0.257,0.779,0.499
UNASSIGNED,image/103419.jpg,jeans,0.499,0.402,0.727,0.78
UNASSIGNED,image/103419.jpg,shoe,0.541,0.741,0.674,0.848
UNASSIGNED,image/169934.jpg,bag,0.5710000000000001,0.591,0.7090000000000001,0.721
UNASSIGNED,image/169934.jpg,belt,0.386,0.34600000000000003,0.589,0.40399999999999997
UNASSIGNED,image/169934.jpg,blouse,0.348,0.22,0.614,0.366
UNASSIGNED,image/169934.jpg,shoe,0.449,0.833,0.544,0.9420000000000001
UNASSIGNED,image/169934.jpg,skirt,0.32799999999999996,0.359,0.639,0.596
UNASSIGNED,image/169934.jpg,sunglass,0.431,0.149,0.536,0.187
UNASSIGNED,image/180677.jpg,bag,0.32299999999999995,0.429,0.373,0.486
UNASSIGNED,image/180677.jpg,shoe,0.617,0.508,0.757,0.619
UNASSIGNED,image/180677.jpg,skirt,0.401,0.366,0.7140000000000001,0.579
UNASSIGNED,image/86159.jpg,blouse,0.18,0.23,0.519,0.439
UNASSIGNED,image/86159.jpg,hat,0.336,0.07200000000000001,0.544,0.159
UNASSIGNED,image/86159.jpg,shoe,0.15,0.855,0.494,1.0
UNASSIGNED,image/86159.jpg,shorts,0.185,0.384,0.496,0.579
UNASSIGNED,image/38182.jpg,belt,0.271,0.35700000000000004,0.449,0.419
UNASSIGNED,image/38182.jpg,blouse,0.15,0.22,0.509,0.426
UNASSIGNED,image/38182.jpg,shoe,0.308,0.846,0.484,0.94
UNASSIGNED,image/38182.jpg,shorts,0.17800000000000002,0.391,0.496,0.599
UNASSIGNED,image/189451.jpg,bag,0.29100000000000004,0.669,0.484,0.755
UNASSIGNED,image/189451.jpg,blouse,0.331,0.267,0.652,0.529
UNASSIGNED,image/189451.jpg,shoe,0.426,0.861,0.574,0.9620000000000001
UNASSIGNED,image/189451.jpg,skirt,0.293,0.501,0.604,0.659
UNASSIGNED,image/142692.jpg,belt,0.531,0.392,0.682,0.45899999999999996
UNASSIGNED,image/142692.jpg,blazer,0.361,0.21899999999999997,0.659,0.534
UNASSIGNED,image/142692.jpg,dress,0.439,0.285,0.6920000000000001,0.898
UNASSIGNED,image/142692.jpg,shoe,0.461,0.835,0.629,0.972
UNASSIGNED,image/93855.jpg,T-shirt,0.188,0.155,0.7090000000000001,0.319
UNASSIGNED,image/93855.jpg,shoe,0.353,0.851,0.546,0.9229999999999999
UNASSIGNED,image/93855.jpg,skirt,0.306,0.344,0.637,0.579
UNASSIGNED,image/93855.jpg,stocking,0.361,0.546,0.564,0.888
UNASSIGNED,image/47890.jpg,bag,0.331,0.5589999999999999,0.599,0.841
UNASSIGNED,image/47890.jpg,coat,0.306,0.23,0.642,0.45399999999999996
UNASSIGNED,image/47890.jpg,shoe,0.45399999999999996,0.861,0.604,0.955
UNASSIGNED,image/47890.jpg,skirt,0.348,0.302,0.674,0.813
UNASSIGNED,image/15709.jpg,bag,0.301,0.581,0.361,0.684
UNASSIGNED,image/15709.jpg,dress,0.271,0.19899999999999998,0.657,0.563
UNASSIGNED,image/15709.jpg,shoe,0.451,0.898,0.546,0.943
UNASSIGNED,image/15709.jpg,sunglass,0.46399999999999997,0.115,0.539,0.16899999999999998
UNASSIGNED,image/138107.jpg,bag,0.614,0.42100000000000004,0.852,0.5589999999999999
UNASSIGNED,image/138107.jpg,belt,0.511,0.34600000000000003,0.742,0.419
UNASSIGNED,image/138107.jpg,dress,0.414,0.184,0.805,0.71
UNASSIGNED,image/46397.jpg,bag,0.306,0.5489999999999999,0.449,0.775
UNASSIGNED,image/46397.jpg,coat,0.501,0.16399999999999998,0.7490000000000001,0.396
UNASSIGNED,image/46397.jpg,dress,0.466,0.239,0.754,0.579
UNASSIGNED,image/46397.jpg,shoe,0.551,0.87,0.7040000000000001,1.0
UNASSIGNED,image/46397.jpg,socks,0.556,0.821,0.7070000000000001,0.985
UNASSIGNED,image/46535.jpg,bag,0.456,0.341,0.659,0.619
UNASSIGNED,image/46535.jpg,dress,0.316,0.20199999999999999,0.586,0.584
UNASSIGNED,image/46535.jpg,shoe,0.414,0.7959999999999999,0.561,0.9520000000000001
UNASSIGNED,image/5829.jpg,bag,0.28600000000000003,0.392,0.5539999999999999,0.583
UNASSIGNED,image/5829.jpg,shoe,0.23800000000000002,0.888,0.677,0.985
UNASSIGNED,image/5829.jpg,skirt,0.429,0.387,0.7070000000000001,0.596
UNASSIGNED,image/5829.jpg,sunglass,0.514,0.068,0.622,0.139
UNASSIGNED,image/5829.jpg,sweater,0.331,0.185,0.7120000000000001,0.48100000000000004
UNASSIGNED,image/118758.jpg,bag,0.165,0.6729999999999999,0.318,0.8029999999999999
UNASSIGNED,image/118758.jpg,jeans,0.271,0.47200000000000003,0.5489999999999999,0.853
UNASSIGNED,image/118758.jpg,shoe,0.24100000000000002,0.84,0.526,0.94
UNASSIGNED,image/118758.jpg,sunglass,0.426,0.14,0.509,0.21899999999999997
UNASSIGNED,image/64567.jpg,T-shirt,0.41100000000000003,0.321,0.647,0.604
UNASSIGNED,image/64567.jpg,bag,0.586,0.301,0.762,0.619
UNASSIGNED,image/64567.jpg,hat,0.426,0.154,0.609,0.252
UNASSIGNED,image/64567.jpg,pants,0.419,0.541,0.667,0.883
UNASSIGNED,image/64567.jpg,shoe,0.541,0.917,0.649,0.968
UNASSIGNED,image/137635.jpg,bag,0.368,0.528,0.509,0.815
UNASSIGNED,image/137635.jpg,blouse,0.35100000000000003,0.182,0.7440000000000001,0.499
UNASSIGNED,image/137635.jpg,hat,0.461,0.0,0.604,0.05
UNASSIGNED,image/137635.jpg,legging,0.39799999999999996,0.48700000000000004,0.722,0.843
UNASSIGNED,image/137635.jpg,shoe,0.5710000000000001,0.81,0.7120000000000001,0.97
UNASSIGNED,image/183142.jpg,bag,0.586,0.384,0.7190000000000001,0.5539999999999999
UNASSIGNED,image/183142.jpg,pants,0.331,0.359,0.637,0.853
UNASSIGNED,image/183142.jpg,shoe,0.496,0.861,0.564,0.925
UNASSIGNED,image/183142.jpg,sweater,0.248,0.18,0.7490000000000001,0.5329999999999999
UNASSIGNED,image/5595.jpg,bag,0.258,0.541,0.46399999999999997,0.778
UNASSIGNED,image/5595.jpg,blazer,0.39799999999999996,0.182,0.7020000000000001,0.451
UNASSIGNED,image/5595.jpg,dress,0.40399999999999997,0.26,0.722,0.579
UNASSIGNED,image/5595.jpg,hat,0.461,0.047,0.684,0.149
UNASSIGNED,image/5595.jpg,shoe,0.424,0.861,0.629,0.953
UNASSIGNED,image/98712.jpg,dress,0.439,0.23399999999999999,0.7490000000000001,0.593
UNASSIGNED,image/98712.jpg,shoe,0.406,0.902,0.617,0.968
UNASSIGNED,image/42815.jpg,bag,0.0,0.5479999999999999,0.263,0.82
UNASSIGNED,image/42815.jpg,shoe,0.391,0.935,0.47600000000000003,0.965
UNASSIGNED,image/42815.jpg,shorts,0.28600000000000003,0.374,0.591,0.94
UNASSIGNED,image/42815.jpg,sunglass,0.368,0.10400000000000001,0.456,0.16399999999999998
UNASSIGNED,image/113018.jpg,bag,0.644,0.581,0.81,0.89
UNASSIGNED,image/113018.jpg,coat,0.336,0.187,0.7390000000000001,0.573
UNASSIGNED,image/113018.jpg,scarf,0.39299999999999996,0.145,0.654,0.324
UNASSIGNED,image/13936.jpg,T-shirt,0.32299999999999995,0.22,0.564,0.491
UNASSIGNED,image/13936.jpg,blazer,0.271,0.18,0.6890000000000001,0.49200000000000005
UNASSIGNED,image/13936.jpg,shoe,0.376,0.888,0.609,0.987
UNASSIGNED,image/129651.jpg,T-shirt,0.271,0.22399999999999998,0.657,0.486
UNASSIGNED,image/129651.jpg,shoe,0.37799999999999995,0.902,0.539,0.953
UNASSIGNED,image/53264.jpg,bag,0.057999999999999996,0.501,0.381,0.8079999999999999
UNASSIGNED,image/53264.jpg,blouse,0.253,0.16899999999999998,0.574,0.402
UNASSIGNED,image/53264.jpg,shoe,0.268,0.7959999999999999,0.38299999999999995,0.9179999999999999
UNASSIGNED,image/53264.jpg,shorts,0.28600000000000003,0.36200000000000004,0.534,0.514
UNASSIGNED,image/34725.jpg,shoe,0.596,0.902,0.779,1.0
UNASSIGNED,image/34725.jpg,skirt,0.391,0.392,0.93,0.659
UNASSIGNED,image/12175.jpg,bag,0.303,0.20199999999999999,0.391,0.588
UNASSIGNED,image/12175.jpg,belt,0.39799999999999996,0.34600000000000003,0.569,0.371
UNASSIGNED,image/12175.jpg,dress,0.28600000000000003,0.184,0.6990000000000001,0.589
UNASSIGNED,image/12175.jpg,shoe,0.39799999999999996,0.828,0.639,0.978
UNASSIGNED,image/12175.jpg,stocking,0.39299999999999996,0.581,0.634,0.841
UNASSIGNED,image/165398.jpg,bag,0.12,0.18,0.38799999999999996,0.47600000000000003
UNASSIGNED,image/165398.jpg,blouse,0.29100000000000004,0.11900000000000001,0.732,0.326
UNASSIGNED,image/165398.jpg,shoe,0.341,0.8029999999999999,0.632,0.98
UNASSIGNED,image/165398.jpg,skirt,0.21100000000000002,0.301,0.569,0.638
UNASSIGNED,image/141288.jpg,T-shirt,0.391,0.42100000000000004,0.649,0.526
UNASSIGNED,image/141288.jpg,bag,0.311,0.42100000000000004,0.451,0.5710000000000001
UNASSIGNED,image/141288.jpg,shoe,0.451,0.866,0.569,0.993
UNASSIGNED,image/141288.jpg,shorts,0.391,0.494,0.607,0.583
UNASSIGNED,image/141288.jpg,sweater,0.278,0.152,0.7090000000000001,0.45899999999999996
UNASSIGNED,image/61334.jpg,T-shirt,0.331,0.322,0.541,0.519
UNASSIGNED,image/61334.jpg,bag,0.21600000000000003,0.581,0.381,0.9179999999999999
UNASSIGNED,image/61334.jpg,belt,0.41600000000000004,0.49700000000000005,0.579,0.514
UNASSIGNED,image/61334.jpg,pants,0.311,0.501,0.561,0.86
UNASSIGNED,image/61334.jpg,shoe,0.35600000000000004,0.871,0.479,0.968
UNASSIGNED,image/106101.jpg,bag,0.17800000000000002,0.568,0.429,0.746
UNASSIGNED,image/106101.jpg,dress,0.341,0.209,0.662,0.619
UNASSIGNED,image/106101.jpg,shoe,0.331,0.915,0.5710000000000001,0.985
UNASSIGNED,image/185847.jpg,bag,0.47100000000000003,0.621,0.7140000000000001,0.895
UNASSIGNED,image/185847.jpg,belt,0.371,0.326,0.509,0.379
UNASSIGNED,image/185847.jpg,dress,0.263,0.24,0.596,0.659
UNASSIGNED,image/185847.jpg,shoe,0.401,0.821,0.539,0.975
UNASSIGNED,image/185847.jpg,stocking,0.38299999999999995,0.561,0.617,0.848
UNASSIGNED,image/89286.jpg,dress,0.35600000000000004,0.22,0.662,0.619
UNASSIGNED,image/89286.jpg,shoe,0.461,0.868,0.591,0.94
UNASSIGNED,image/118662.jpg,T-shirt,0.34600000000000003,0.23,0.556,0.41100000000000003
UNASSIGNED,image/118662.jpg,blouse,0.33299999999999996,0.39899999999999997,0.609,0.5529999999999999
UNASSIGNED,image/118662.jpg,shoe,0.311,0.868,0.581,0.982
UNASSIGNED,image/80369.jpg,T-shirt,0.451,0.312,0.672,0.501
UNASSIGNED,image/80369.jpg,bag,0.313,0.6609999999999999,0.494,0.888
UNASSIGNED,image/80369.jpg,belt,0.429,0.466,0.634,0.531
UNASSIGNED,image/80369.jpg,pants,0.41100000000000003,0.501,0.677,0.917
UNASSIGNED,image/80369.jpg,shoe,0.434,0.8759999999999999,0.632,0.988
UNASSIGNED,image/1372.jpg,T-shirt,0.419,0.27899999999999997,0.569,0.382
UNASSIGNED,image/1372.jpg,blazer,0.281,0.15,0.7070000000000001,0.499
UNASSIGNED,image/1372.jpg,shoe,0.368,0.7909999999999999,0.509,0.92
UNASSIGNED,image/1372.jpg,sunglass,0.414,0.068,0.569,0.129
UNASSIGNED,image/9527.jpg,blouse,0.316,0.265,0.644,0.621
UNASSIGNED,image/9527.jpg,shoe,0.429,0.91,0.556,0.963
UNASSIGNED,image/9527.jpg,skirt,0.386,0.613,0.624,0.659
UNASSIGNED,image/38634.jpg,bag,0.28300000000000003,0.628,0.617,0.873
UNASSIGNED,image/38634.jpg,blouse,0.524,0.22,0.669,0.42200000000000004
UNASSIGNED,image/38634.jpg,coat,0.39799999999999996,0.19699999999999998,0.81,0.414
UNASSIGNED,image/38634.jpg,shoe,0.536,0.868,0.6990000000000001,0.98
UNASSIGNED,image/23568.jpg,dress,0.363,0.26,0.622,0.579
UNASSIGNED,image/133008.jpg,coat,0.293,0.212,0.7070000000000001,0.706
UNASSIGNED,image/133008.jpg,dress,0.37799999999999995,0.20199999999999999,0.596,0.6779999999999999
UNASSIGNED,image/133008.jpg,shoe,0.409,0.8959999999999999,0.591,1.0
UNASSIGNED,image/133008.jpg,stocking,0.331,0.6659999999999999,0.612,0.907
UNASSIGNED,image/184104.jpg,bag,0.581,0.544,0.6940000000000001,0.6409999999999999
UNASSIGNED,image/184104.jpg,blazer,0.326,0.21,0.7090000000000001,0.5710000000000001
UNASSIGNED,image/184104.jpg,dress,0.366,0.235,0.629,0.633
UNASSIGNED,image/184104.jpg,shoe,0.441,0.8759999999999999,0.589,0.992
UNASSIGNED,image/184104.jpg,socks,0.466,0.861,0.569,0.9
UNASSIGNED,image/94987.jpg,bag,0.1,0.574,0.39799999999999996,0.763
UNASSIGNED,image/94987.jpg,coat,0.373,0.312,0.882,0.6779999999999999
UNASSIGNED,image/94987.jpg,hat,0.5710000000000001,0.187,0.7490000000000001,0.259
UNASSIGNED,image/94987.jpg,shoe,0.511,0.866,0.654,0.932
UNASSIGNED,image/66896.jpg,dress,0.281,0.287,0.7190000000000001,0.953
UNASSIGNED,image/58883.jpg,T-shirt,0.28600000000000003,0.187,0.624,0.519
UNASSIGNED,image/58883.jpg,blazer,0.293,0.16899999999999998,0.677,0.41100000000000003
UNASSIGNED,image/58883.jpg,shorts,0.278,0.49200000000000005,0.622,0.564
UNASSIGNED,image/189146.jpg,bag,0.231,0.561,0.41600000000000004,0.6859999999999999
UNASSIGNED,image/189146.jpg,belt,0.414,0.462,0.614,0.519
UNASSIGNED,image/189146.jpg,blouse,0.366,0.295,0.674,0.48200000000000004
UNASSIGNED,image/189146.jpg,legging,0.401,0.501,0.629,0.836
UNASSIGNED,image/189146.jpg,scarf,0.456,0.309,0.574,0.456
UNASSIGNED,image/47285.jpg,T-shirt,0.311,0.19899999999999998,0.91,0.466
UNASSIGNED,image/47285.jpg,bag,0.195,0.446,0.5660000000000001,0.74
UNASSIGNED,image/47285.jpg,jeans,0.293,0.42100000000000004,0.7190000000000001,0.868
UNASSIGNED,image/47285.jpg,shoe,0.581,0.818,0.657,0.94
UNASSIGNED,image/47285.jpg,sunglass,0.536,0.11699999999999999,0.581,0.157
UNASSIGNED,image/28748.jpg,bag,0.409,0.26,0.647,0.601
UNASSIGNED,image/28748.jpg,blouse,0.23600000000000002,0.174,0.622,0.469
UNASSIGNED,image/28748.jpg,pants,0.313,0.43200000000000005,0.614,0.89
UNASSIGNED,image/28748.jpg,shoe,0.396,0.917,0.509,1.0
UNASSIGNED,image/21440.jpg,blouse,0.396,0.184,0.589,0.344
UNASSIGNED,image/21440.jpg,hat,0.371,0.0,0.607,0.12
UNASSIGNED,image/21440.jpg,shoe,0.419,0.654,0.7070000000000001,0.9670000000000001
UNASSIGNED,image/21440.jpg,skirt,0.23800000000000002,0.33899999999999997,0.7290000000000001,0.596
UNASSIGNED,image/33888.jpg,T-shirt,0.41100000000000003,0.242,0.594,0.509
UNASSIGNED,image/33888.jpg,blazer,0.28800000000000003,0.18899999999999997,0.732,0.568
UNASSIGNED,image/33888.jpg,shoe,0.424,0.873,0.732,0.997
UNASSIGNED,image/33888.jpg,shorts,0.431,0.503,0.529,0.5529999999999999
UNASSIGNED,image/120690.jpg,T-shirt,0.396,0.182,0.486,0.41600000000000004
UNASSIGNED,image/120690.jpg,bag,0.256,0.361,0.33799999999999997,0.499
UNASSIGNED,image/120690.jpg,blazer,0.24600000000000002,0.15,0.682,0.509
UNASSIGNED,image/120690.jpg,shoe,0.414,0.861,0.682,0.993
UNASSIGNED,image/120690.jpg,shorts,0.368,0.41100000000000003,0.669,0.551
UNASSIGNED,image/124577.jpg,bag,0.303,0.205,0.604,0.596
UNASSIGNED,image/124577.jpg,belt,0.271,0.386,0.431,0.41100000000000003
UNASSIGNED,image/124577.jpg,dress,0.155,0.195,0.529,0.606
UNASSIGNED,image/124577.jpg,hat,0.353,0.015,0.511,0.065
UNASSIGNED,image/124577.jpg,shoe,0.253,0.861,0.449,0.97
UNASSIGNED,image/124577.jpg,stocking,0.243,0.648,0.474,0.871
UNASSIGNED,image/187411.jpg,T-shirt,0.386,0.16899999999999998,0.682,0.369
UNASSIGNED,image/187411.jpg,bag,0.35100000000000003,0.297,0.767,0.579
UNASSIGNED,image/187411.jpg,shoe,0.444,0.835,0.584,0.972
UNASSIGNED,image/187411.jpg,shorts,0.414,0.35700000000000004,0.722,0.534
UNASSIGNED,image/107061.jpg,belt,0.391,0.369,0.627,0.43700000000000006
UNASSIGNED,image/107061.jpg,coat,0.213,0.212,0.835,0.609
UNASSIGNED,image/107061.jpg,shoe,0.429,0.828,0.644,0.9620000000000001
UNASSIGNED,image/109437.jpg,belt,0.45899999999999996,0.301,0.629,0.354
UNASSIGNED,image/109437.jpg,dress,0.371,0.159,0.7190000000000001,0.619
UNASSIGNED,image/109437.jpg,shoe,0.376,0.86,0.81,0.992
UNASSIGNED,image/189957.jpg,belt,0.42100000000000004,0.40399999999999997,0.516,0.442
UNASSIGNED,image/189957.jpg,blouse,0.426,0.212,0.581,0.41600000000000004
UNASSIGNED,image/189957.jpg,coat,0.29600000000000004,0.192,0.687,0.466
UNASSIGNED,image/189957.jpg,shoe,0.47600000000000003,0.821,0.612,0.888
UNASSIGNED,image/57175.jpg,T-shirt,0.183,0.18,0.586,0.41100000000000003
UNASSIGNED,image/57175.jpg,bag,0.511,0.528,0.6890000000000001,0.82
UNASSIGNED,image/57175.jpg,pants,0.293,0.40700000000000003,0.584,0.82
UNASSIGNED,image/57175.jpg,shoe,0.361,0.861,0.514,0.953
UNASSIGNED,image/154943.jpg,shoe,0.5710000000000001,0.861,0.7140000000000001,0.963
UNASSIGNED,image/154943.jpg,skirt,0.401,0.301,0.86,0.5589999999999999
UNASSIGNED,image/154943.jpg,stocking,0.524,0.509,0.802,0.9
UNASSIGNED,image/154943.jpg,sunglass,0.5539999999999999,0.0,0.639,0.057999999999999996
UNASSIGNED,image/154943.jpg,sweater,0.45899999999999996,0.147,0.897,0.379
UNASSIGNED,image/12844.jpg,blouse,0.223,0.341,0.867,0.603
UNASSIGNED,image/12844.jpg,scarf,0.281,0.26,0.732,0.47200000000000003
UNASSIGNED,image/12844.jpg,shoe,0.429,0.9420000000000001,0.5489999999999999,1.0
UNASSIGNED,image/12844.jpg,skirt,0.308,0.5529999999999999,0.6990000000000001,0.9279999999999999
UNASSIGNED,image/1931.jpg,belt,0.371,0.361,0.602,0.419
UNASSIGNED,image/1931.jpg,dress,0.29100000000000004,0.22,0.667,0.636
UNASSIGNED,image/1931.jpg,shoe,0.439,0.836,0.581,0.955
UNASSIGNED,image/1931.jpg,sunglass,0.494,0.109,0.569,0.157
